abox-test euto_v9_sadk 1.0
acl aarch64 2.2.53
acl-dev aarch64 2.2.53
acryltest aarch64 1.0
alsa-conf aarch64 1.2.1.2
alsa-plugins aarch64 1.2.1
alsa-state aarch64 0.2.0
alsa-states aarch64 0.2.0
alsa-topology-conf noarch 1.2.1
alsa-ucm-conf noarch 1.2.1.2
alsa-utils aarch64 1.2.1
alsa-utils-aconnect aarch64 1.2.1
alsa-utils-alsactl aarch64 1.2.1
alsa-utils-alsaloop aarch64 1.2.1
alsa-utils-alsamixer aarch64 1.2.1
alsa-utils-alsatplg aarch64 1.2.1
alsa-utils-alsaucm aarch64 1.2.1
alsa-utils-amixer aarch64 1.2.1
alsa-utils-aplay aarch64 1.2.1
alsa-utils-aseqdump aarch64 1.2.1
alsa-utils-aseqnet aarch64 1.2.1
alsa-utils-iecset aarch64 1.2.1
alsa-utils-midi aarch64 1.2.1
alsa-utils-speakertest aarch64 1.2.1
android-adb noarch 1.0.0
argp-standalone-dev aarch64 1.3
attr aarch64 2.4.48
attr-dev aarch64 2.4.48
audio-ucm noarch 1.0
avahi-daemon aarch64 0.7
base-files euto_v9_sadk 3.0.14
base-files-dev euto_v9_sadk 3.0.14
base-passwd aarch64 3.5.29
base-passwd-dev aarch64 3.5.29
bash aarch64 5.0
bash-completion aarch64 2.10
bash-completion-dev aarch64 2.10
bash-dev aarch64 5.0
bc aarch64 1.07.1
bc-dev aarch64 1.07.1
binutils aarch64 2.34
bluez5 aarch64 5.55
boottime-viewer euto_v9_sadk 1.0
bsd-headers-dev aarch64 1.0
btrfs-tools aarch64 5.4.1
btrfs-tools-dev aarch64 5.4.1
busybox aarch64 1.31.1
busybox-hwclock aarch64 1.31.1
busybox-syslog aarch64 1.31.1
busybox-udhcpc aarch64 1.31.1
bzip2 aarch64 1.0.8
bzip2-dev aarch64 1.0.8
ca-certificates noarch 20211016
camera-test aarch64 1.0
cm-test-musl aarch64 1.0
compiler-rt aarch64 10.0.1
compiler-rt-dev aarch64 10.0.1
compiler-rt-staticdev aarch64 10.0.1
coreutils aarch64 8.31
coreutils-dev aarch64 8.31
coreutils-stdbuf aarch64 8.31
cpio aarch64 2.13
cpuhg aarch64 1.0
cronie aarch64 1.5.5
cryptsetup aarch64 2.3.2
curl aarch64 7.69.1
db aarch64 5.3.28
db-dev aarch64 5.3.28
dbus-1 aarch64 1.12.24
dbus-dev aarch64 1.12.24
devmem2 aarch64 1.0
dhrystone aarch64 2.1
diag-monitor aarch64 1.0
diffutils aarch64 3.7
diffutils-dev aarch64 3.7
dmaheap-test aarch64 1.0
e2fsprogs aarch64 1.45.7
e2fsprogs-badblocks aarch64 1.45.7
e2fsprogs-dev aarch64 1.45.7
e2fsprogs-dumpe2fs aarch64 1.45.7
e2fsprogs-e2fsck aarch64 1.45.7
e2fsprogs-mke2fs aarch64 1.45.7
e2fsprogs-resize2fs aarch64 1.45.7
e2fsprogs-tune2fs aarch64 1.45.7
ea-top aarch64 1.0
elfutils aarch64 0.178
elfutils-dev aarch64 0.178
evtest aarch64 1.34
expect aarch64 5.45.4
file aarch64 5.38
findutils aarch64 4.7.0
findutils-dev aarch64 4.7.0
fio aarch64 3.17
fontconfig-utils aarch64 2.13.1
gatekeeper aarch64 1.0
gawk aarch64 5.0.1
gawk-dev aarch64 5.0.1
gdb aarch64 9.1
glib-networking aarch64 2.62.4
glmark2 aarch64 20191226+0+72dabc5d72
gpu-firmware euto_v9_sadk 1.0
grep aarch64 3.4
grep-dev aarch64 3.4
gstreamer-plugins-exynos euto_v9_sadk 1.0
gstreamer1.0 aarch64 1.16.3
gstreamer1.0-libav aarch64 1.16.3
gstreamer1.0-omx euto_v9_sadk 1.16.3
gstreamer1.0-plugins-bad aarch64 1.16.3
gstreamer1.0-plugins-bad-accurip aarch64 1.16.3
gstreamer1.0-plugins-bad-adpcmdec aarch64 1.16.3
gstreamer1.0-plugins-bad-adpcmenc aarch64 1.16.3
gstreamer1.0-plugins-bad-aiff aarch64 1.16.3
gstreamer1.0-plugins-bad-asfmux aarch64 1.16.3
gstreamer1.0-plugins-bad-audiobuffersplit aarch64 1.16.3
gstreamer1.0-plugins-bad-audiofxbad aarch64 1.16.3
gstreamer1.0-plugins-bad-audiolatency aarch64 1.16.3
gstreamer1.0-plugins-bad-audiomixmatrix aarch64 1.16.3
gstreamer1.0-plugins-bad-audiovisualizers aarch64 1.16.3
gstreamer1.0-plugins-bad-autoconvert aarch64 1.16.3
gstreamer1.0-plugins-bad-bayer aarch64 1.16.3
gstreamer1.0-plugins-bad-bluez aarch64 1.16.3
gstreamer1.0-plugins-bad-bz2 aarch64 1.16.3
gstreamer1.0-plugins-bad-camerabin aarch64 1.16.3
gstreamer1.0-plugins-bad-closedcaption aarch64 1.16.3
gstreamer1.0-plugins-bad-coloreffects aarch64 1.16.3
gstreamer1.0-plugins-bad-curl aarch64 1.16.3
gstreamer1.0-plugins-bad-dashdemux aarch64 1.16.3
gstreamer1.0-plugins-bad-debugutilsbad aarch64 1.16.3
gstreamer1.0-plugins-bad-decklink aarch64 1.16.3
gstreamer1.0-plugins-bad-dtls aarch64 1.16.3
gstreamer1.0-plugins-bad-dvb aarch64 1.16.3
gstreamer1.0-plugins-bad-dvbsuboverlay aarch64 1.16.3
gstreamer1.0-plugins-bad-dvdspu aarch64 1.16.3
gstreamer1.0-plugins-bad-faceoverlay aarch64 1.16.3
gstreamer1.0-plugins-bad-fbdevsink aarch64 1.16.3
gstreamer1.0-plugins-bad-festival aarch64 1.16.3
gstreamer1.0-plugins-bad-fieldanalysis aarch64 1.16.3
gstreamer1.0-plugins-bad-freeverb aarch64 1.16.3
gstreamer1.0-plugins-bad-frei0r aarch64 1.16.3
gstreamer1.0-plugins-bad-gaudieffects aarch64 1.16.3
gstreamer1.0-plugins-bad-gdp aarch64 1.16.3
gstreamer1.0-plugins-bad-geometrictransform aarch64 1.16.3
gstreamer1.0-plugins-bad-hls aarch64 1.16.3
gstreamer1.0-plugins-bad-id3tag aarch64 1.16.3
gstreamer1.0-plugins-bad-inter aarch64 1.16.3
gstreamer1.0-plugins-bad-interlace aarch64 1.16.3
gstreamer1.0-plugins-bad-ipcpipeline aarch64 1.16.3
gstreamer1.0-plugins-bad-ivfparse aarch64 1.16.3
gstreamer1.0-plugins-bad-ivtc aarch64 1.16.3
gstreamer1.0-plugins-bad-jp2kdecimator aarch64 1.16.3
gstreamer1.0-plugins-bad-jpegformat aarch64 1.16.3
gstreamer1.0-plugins-bad-legacyrawparse aarch64 1.16.3
gstreamer1.0-plugins-bad-meta aarch64 1.16.3
gstreamer1.0-plugins-bad-midi aarch64 1.16.3
gstreamer1.0-plugins-bad-mpegpsdemux aarch64 1.16.3
gstreamer1.0-plugins-bad-mpegpsmux aarch64 1.16.3
gstreamer1.0-plugins-bad-mpegtsdemux aarch64 1.16.3
gstreamer1.0-plugins-bad-mpegtsmux aarch64 1.16.3
gstreamer1.0-plugins-bad-mxf aarch64 1.16.3
gstreamer1.0-plugins-bad-netsim aarch64 1.16.3
gstreamer1.0-plugins-bad-pcapparse aarch64 1.16.3
gstreamer1.0-plugins-bad-pnm aarch64 1.16.3
gstreamer1.0-plugins-bad-proxy aarch64 1.16.3
gstreamer1.0-plugins-bad-removesilence aarch64 1.16.3
gstreamer1.0-plugins-bad-rfbsrc aarch64 1.16.3
gstreamer1.0-plugins-bad-rsvg aarch64 1.16.3
gstreamer1.0-plugins-bad-rtponvif aarch64 1.16.3
gstreamer1.0-plugins-bad-sbc aarch64 1.16.3
gstreamer1.0-plugins-bad-sdpelem aarch64 1.16.3
gstreamer1.0-plugins-bad-segmentclip aarch64 1.16.3
gstreamer1.0-plugins-bad-shm aarch64 1.16.3
